Active Internet connections (w/o servers)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
unix  2      [ ]         DGRAM      CONNECTED     351176   
unix  2      [ ]         DGRAM      CONNECTED     39700    
unix  2      [ ]         DGRAM      CONNECTED     13021    
unix  2      [ ]         DGRAM      CONNECTED     535749   
unix  3      [ ]         SEQPACKET  CONNECTED     39762    
unix  2      [ ]         DGRAM      CONNECTED     25413    
unix  3      [ ]         SEQPACKET  CONNECTED     32004    
unix  2      [ ]         DGRAM      CONNECTED     563914   
unix  2      [ ]         DGRAM      CONNECTED     28928    
unix  2      [ ]         DGRAM      CONNECTED     22032    
unix  3      [ ]         SEQPACKET  CONNECTED     466348   
unix  3      [ ]         SEQPACKET  CONNECTED     400472   
unix  3      [ ]         SEQPACKET  CONNECTED     34656    
unix  2      [ ]         DGRAM      CONNECTED     41096    
unix  3      [ ]         SEQPACKET  CONNECTED     539830   
unix  2      [ ]         DGRAM      CONNECTED     323235   
unix  2      [ ]         DGRAM      CONNECTED     191404   
unix  2      [ ]         DGRAM      CONNECTED     28316    
unix  3      [ ]         SEQPACKET  CONNECTED     355075   
unix  2      [ ]         DGRAM      CONNECTED     277851   
unix  2      [ ]         DGRAM      CONNECTED     23685    
unix  3      [ ]         SEQPACKET  CONNECTED     479520   
unix  3      [ ]         STREAM     CONNECTED     415214   
unix  2      [ ]         DGRAM      CONNECTED     332393   
unix  2      [ ]         DGRAM      CONNECTED     27237    
unix  3      [ ]         SEQPACKET  CONNECTED     541762   
unix  3      [ ]         STREAM     CONNECTED     424512   
unix  2      [ ]         DGRAM      CONNECTED     397821   
unix  3      [ ]         STREAM     CONNECTED     334414   
unix  3      [ ]         SEQPACKET  CONNECTED     169185   
unix  3      [ ]         STREAM     CONNECTED     44550    /dev/socket/traced_producer
unix  2      [ ]         DGRAM      CONNECTED     25279    
unix  3      [ ]         STREAM     CONNECTED     405328   
unix  3      [ ]         STREAM     CONNECTED     398205   
unix  2      [ ]         DGRAM      CONNECTED     492536   
unix  3      [ ]         SEQPACKET  CONNECTED     272221   
unix  2      [ ]         DGRAM      CONNECTED     28880    
unix  2      [ ]         DGRAM      CONNECTED     22242    
unix  3      [ ]         STREAM     CONNECTED     348675   
unix  3      [ ]         SEQPACKET  CONNECTED     54336    
unix  2      [ ]         DGRAM      CONNECTED     51320    
unix  3      [ ]         SEQPACKET  CONNECTED     356864   
unix  2      [ ]         DGRAM      CONNECTED     351304   
unix  2      [ ]         DGRAM      CONNECTED     44463    
unix  2      [ ]         DGRAM      CONNECTED     19463    
unix  3      [ ]         SEQPACKET  CONNECTED     563754   
unix  3      [ ]         SEQPACKET  CONNECTED     356868   
unix  3      [ ]         SEQPACKET  CONNECTED     39410    
unix  3      [ ]         STREAM     CONNECTED     565885   
unix  3      [ ]         SEQPACKET  CONNECTED     312724   
unix  2      [ ]         DGRAM      CONNECTED     22034    
unix  2      [ ]         DGRAM      CONNECTED     14585    
unix  2      [ ]         DGRAM      CONNECTED     27950    
unix  2      [ ]         DGRAM      CONNECTED     425309   
unix  3      [ ]         STREAM     CONNECTED     415134   
unix  3      [ ]         SEQPACKET  CONNECTED     41446    
unix  2      [ ]         DGRAM      CONNECTED     22899    
unix  3      [ ]         SEQPACKET  CONNECTED     38668    
unix  2      [ ]         DGRAM      CONNECTED     524101   
unix  3      [ ]         SEQPACKET  CONNECTED     310085   
unix  3      [ ]         SEQPACKET  CONNECTED     314281   
